news_source,rating,rating_num,type,agree,disagree,perc_agree,url,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name,Cluster,PCA1,PCA2
Boston Herald Editorial,right-center,4.0,News Media,155,142,0.5218855218855218,https://www.allsides.com/news-source/boston-herald-editorial-media-bias,1,0,0,1,Low or Initial Rating,,,,,0,-1419.0154742660013,102.55840871570406
Bowling Green Daily News,left-center,2.0,News Media,499,543,0.4788867562380038,https://www.allsides.com/news-source/bowling-green-daily-news,0,0,0,1,Low or Initial Rating,,,,,0,-893.1942741878373,154.02761274267746
Breitbart News,right,5.0,News Media,17019,8114,0.6771575219830501,https://www.allsides.com/news-source/breitbart,0,1,0,1,High,https://twitter.com/BreitbartNews,https://en.wikipedia.org/wiki/Breitbart_News,https://www.facebook.com/Breitbart/,BreitbartNews,2,16272.096210866308,-5811.141579686299
Brent Bozell,right,5.0,Author,251,222,0.5306553911205074,https://www.allsides.com/news-source/brent-bozell,0,0,0,1,High,,,,,0,-1294.352721645831,93.88680884251879
Bret Stephens,right-center,4.0,Author,215,270,0.4432989690721649,https://www.allsides.com/news-source/bret-stephens,0,0,0,0,,,,,,0,-1287.12915940707,153.45040524709296
Brookings Institution,center,3.0,Think Tank / Policy Group,2222,1459,0.6036403151317576,https://www.allsides.com/news-source/brookings-institute,0,0,0,0,,,,,,0,984.5437403436338,-376.90066554375545
Business Insider,center,3.0,News Media,1886,2155,0.4667161593664934,https://www.allsides.com/news-source/business-insider,0,0,0,0,,https://twitter.com/businessinsider,https://en.wikipedia.org/wiki/Business_Insider,http://www.facebook.com/businessinsider,businessinsider,0,1223.5674481562708,358.0685005098399
Bustle,left-center,2.0,News Media,675,691,0.4941434846266471,https://www.allsides.com/news-source/bustle,0,0,0,1,Low or Initial Rating,https://twitter.com/bustle,,https://www.facebook.com/bustledotcom/,bustle,0,-663.7232829675479,139.09228155353549
BuzzFeed News,left,1.0,News Media,6106,6551,0.4824207948170972,https://www.allsides.com/news-source/buzzfeed-media-bias,1,0,1,1,Medium,,https://en.wikipedia.org/wiki/BuzzFeed_News,,,2,7311.98945565194,611.7101822530567
C-SPAN,center,3.0,News Media,2719,810,0.7704732218758855,https://www.allsides.com/news-source/c-span,0,0,0,1,Medium,https://twitter.com/@cspan,https://en.wikipedia.org/wiki/C-SPAN,https://www.facebook.com/CSPAN,cspan,0,894.274900246148,-1189.3423917160283
CalMatters,center,3.0,News Media,575,455,0.558252427184466,https://www.allsides.com/news-source/calmatters,0,0,0,0,Low or Initial Rating,,,,,0,-899.2180772848452,37.908217765720934
CalWatchdog,center,3.0,News Media,446,471,0.4863685932388222,https://www.allsides.com/news-source/calwatchdog,0,0,0,1,Medium,,,,,0,-981.27779132642,138.72090782605497
Care 2,left,1.0,News Media,491,525,0.483267716535433,https://www.allsides.com/news-source/care-2,0,0,0,1,,,,,,0,-911.424933203771,146.5682035991807
Carnegie Endowment for International Peace,center,3.0,Think Tank / Policy Group,385,303,0.559593023255814,https://www.allsides.com/news-source/carnegie-endowment-international-peace,0,0,1,0,,,,,,0,-1141.5640792650452,59.64308038639494
Carrie Lukas,right,5.0,Author,193,153,0.5578034682080925,https://www.allsides.com/news-source/carrie-lukas,checked,0,0,0,,,,,,0,-1383.9701308377912,84.20570323126458
Cathy Young,right-center,4.0,Author,11,17,0.3928571428571428,https://www.allsides.com/news-source/cathy-young-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1609.4693632617402,111.95608098331674
Cato Institute (blog),right-center,4.0,Think Tank / Policy Group,899,1367,0.3967343336275375,https://www.allsides.com/news-source/cato-institute,0,0,0,0,,,,,,0,-34.24926531177334,472.1304469548457
CBN,right,5.0,News Media,6333,3314,0.656473515082409,https://www.allsides.com/news-source/cbn,0,0,0,1,Medium,https://twitter.com/CBNNews?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://en.wikipedia.org/wiki/Christian_Broadcasting_Network,https://www.facebook.com/cbnonline,CBNNews,2,5236.0282906359125,-1882.2993604872236
CBS News,left-center,2.0,News Media,6905,5391,0.5615647364996746,https://www.allsides.com/news-source/cbs-news-media-bias,0,1,0,1,Low or Initial Rating,https://twitter.com/@CBSNews,https://en.wikipedia.org/wiki/CBS_News,https://www.facebook.com/CBSNews/,CBSNews,2,7086.161525008219,-778.6145204135361
Center - Major Media Sources,center,3.0,News Media,564,477,0.5417867435158501,https://www.allsides.com/news-source/center-major-media-sources,checked,0,0,0,,,,,,0,-891.9365715130737,61.40246618021142
