news_source,rating,rating_num,type,agree,disagree,perc_agree,url,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name,Cluster,PCA1,PCA2
Judicial Watch,right-center,4.0,News Media,969,1100,0.4683421942967617,https://www.allsides.com/news-source/judicial-watch,0,0,0,1,Low or Initial Rating,https://twitter.com/@TomFitton,https://en.wikipedia.org/wiki/Judicial_Watch,https://www.facebook.com/JudicialWatch,TomFitton,0,-168.46376915311203,230.93453737836109
Julian Zelizer,left-center,2.0,Author,109,138,0.4412955465587044,https://www.allsides.com/news-source/julian-zelizer,checked,0,0,0,Low or Initial Rating,,,,,0,-1454.9927672621748,131.50035724208138
Kathleen Parker,right-center,4.0,Author,161,100,0.6168582375478927,https://www.allsides.com/news-source/kathleen-parker,checked,0,0,0,,,,,,0,-1443.7457320125527,68.08501130128994
KATU,center,3.0,News Media,7,10,0.4117647058823529,https://www.allsides.com/news-source/katu-media-bias,0,0,0,0,Low or Initial Rating,,,,,0,-1617.2008117261205,109.67027752283131
Ken Catalino (cartoonist),right,5.0,Author,13,18,0.4193548387096774,https://www.allsides.com/news-source/ken-catalino-cartoonist,checked,0,0,0,,,,,,0,-1607.3335510107256,111.29412933479247
Kevin Kallaugher (cartoonist),left-center,2.0,Author,16,13,0.5517241379310345,https://www.allsides.com/news-source/kevin-kallaugher-cartoonist,0,0,0,0,Low or Initial Rating,,,,,0,-1608.6274476596125,105.60855966070486
Kimberley A. Strassel,right,5.0,Author,128,87,0.5953488372093023,https://www.allsides.com/news-source/kimberley-strassel,checked,0,0,0,,,,,,0,-1476.5652840136509,81.53407494961465
Kirsten Powers,left-center,2.0,Author,57,39,0.59375,https://www.allsides.com/news-source/kirsten-powers-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1561.036965110575,96.00916852138377
KQED,center,3.0,News Media,396,330,0.5454545454545454,https://www.allsides.com/news-source/kqed,0,0,0,0,Low or Initial Rating,,https://en.wikipedia.org/wiki/KQED,,,0,-1114.940050444066,71.52414039975463
KSL,right,5.0,News Media,804,603,0.5714285714285714,https://www.allsides.com/news-source/ksl,0,0,0,1,Low or Initial Rating,,,,,0,-631.483976941157,-13.700490269264037
Lalo Alcaraz (cartoonist),left,1.0,Author,17,11,0.6071428571428571,https://www.allsides.com/news-source/lalo-alcaraz-cartoonist,checked,0,0,0,,,,,,0,-1609.2893965915953,103.47272081452826
Lanhee Chen,right,5.0,Author,45,66,0.4054054054054054,https://www.allsides.com/news-source/lanhee-chen,0,0,0,1,Low or Initial Rating,,,,,0,-1551.0176721860505,123.80508814188967
Las Vegas Sun,left-center,2.0,News Media,225,234,0.4901960784313725,https://www.allsides.com/news-source/las-vegas-sun,0,0,0,1,Low or Initial Rating,,,,,0,-1304.8198782027237,120.54087166582501
Laura Rose Junco,center,3.0,Author,1,4,0.2,https://www.allsides.com/news-source/laura-rose-junco-media-bias,0,0,0,0,Low or Initial Rating,,,,,0,-1625.684184440918,109.49031695140476
Lauren Duca,left,1.0,Author,58,31,0.651685393258427,https://www.allsides.com/news-source/lauren-duca,0,0,0,1,Low or Initial Rating,,,,,0,-1565.850615045659,89.54165797570599
Leesburg Today,right-center,4.0,News Media,164,137,0.5448504983388704,https://www.allsides.com/news-source/leesburg-today,0,0,0,1,Low or Initial Rating,,,,,0,-1415.9777177150788,92.72112980724617
Left - Major Media Sources,left,1.0,News Media,513,380,0.574468085106383,https://www.allsides.com/news-source/left-major-publications,checked,0,0,0,,,,,,0,-995.8749339775025,26.66324155151777
Left Guest Commentaries,left,1.0,Author,86,96,0.4725274725274725,https://www.allsides.com/news-source/left-guest-commentaries,checked,0,0,0,,,,,,0,-1500.6594092375776,117.09351301808687
Leonard Pitts Jr,left,1.0,Author,68,59,0.5354330708661418,https://www.allsides.com/news-source/leonard-pitts-jr,0,0,0,1,Low or Initial Rating,,,,,0,-1539.25655778925,102.83662917059846
Lifehacker,center,3.0,News Media,253,248,0.5049900199600799,https://www.allsides.com/news-source/lifehacker,0,0,0,1,Low or Initial Rating,,https://en.wikipedia.org/wiki/Lifehacker,,,0,-1274.918114568796,111.27349550233451
Lisa Benson (cartoonist),right,5.0,Author,43,42,0.5058823529411764,https://www.allsides.com/news-source/lisa-benson-cartoonist,checked,0,0,0,,,,,,0,-1569.068389025933,107.86230654815049
Lisa Gable,right,5.0,Author,20,17,0.5405405405405406,https://www.allsides.com/news-source/lisa-gable-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1602.9718619044122,105.72851803326014
Listen First Project,allsides,,News Media,82,61,0.5734265734265734,https://www.allsides.com/news-source/listen-first-project-media-bias,0,0,0,1,High,https://twitter.com/ListenFirstProj,,https://www.facebook.com/ListenFirstProject/,ListenFirstProj,0,-1527.765435880974,94.59320667688033
Live Action News,right-center,4.0,News Media,217,139,0.6095505617977528,https://www.allsides.com/news-source/live-action-news,0,0,0,1,Low or Initial Rating,https://twitter.com/liveactionnews,https://en.wikipedia.org/wiki/Live_Action_(organization),https://www.facebook.com/liveactionnewsonline,liveactionnews,0,-1376.3307183593558,57.49165840690682
Living Room Conversations,allsides,,News Media,1031,1327,0.4372349448685326,https://www.allsides.com/news-source/living-room-conversations,0,0,0,1,High,https://twitter.com/LivingRoomConvo,,https://www.facebook.com/LivingRoomConversations/,LivingRoomConvo,0,33.369531366827914,351.9152077873095
Longmont Times-Call,left-center,2.0,News Media,123,131,0.484251968503937,https://www.allsides.com/news-source/longmont-times-call,0,0,0,0,,,,,,0,-1449.729184715052,116.75943602541628
Los Angeles Times,left-center,2.0,News Media,4030,2974,0.5753854940034266,https://www.allsides.com/news-source/los-angeles-times-bias,0,0,0,1,Low or Initial Rating,https://twitter.com/@TarynLuna,https://en.wikipedia.org/wiki/Los_Angeles_Times,https://www.facebook.com/latimes/,TarynLuna,2,3338.125309420934,-534.1994973801955
Louisville Courier-Journal,left-center,2.0,News Media,155,146,0.5149501661129569,https://www.allsides.com/news-source/louisville-courier-journal,0,0,0,0,Low or Initial Rating,,https://en.wikipedia.org/wiki/The_Courier-Journal,,,0,-1416.2476837431263,105.44620817083957
Manhattan Institute,right-center,4.0,Think Tank / Policy Group,147,235,0.3848167539267015,https://www.allsides.com/news-source/manhattan-institute,0,0,0,0,,,,,,0,-1360.439693241589,175.2349351708624
Marc A. Thiessen,right,5.0,Author,210,169,0.554089709762533,https://www.allsides.com/news-source/marc-thiessen,0,0,0,0,,,,,,0,-1360.6258586762758,83.99367477643058
Mark Gerzon,center,3.0,Author,18,22,0.45,https://www.allsides.com/news-source/mark-gerzon,0,0,0,0,Low or Initial Rating,,,,,0,-1600.9560117919889,110.72216703654817
Mark Mix,right,5.0,Author,87,59,0.5958904109589042,https://www.allsides.com/news-source/mark-mix,0,0,0,0,,,,,,0,-1525.5396445177516,89.68956440990964
Mark Morford,left,1.0,Author,22,13,0.6285714285714286,https://www.allsides.com/news-source/morford-mark,checked,0,0,0,,,,,,0,-1604.2957699247881,101.45685949215573
MarketWatch,right-center,4.0,News Media,29,48,0.3766233766233766,https://www.allsides.com/news-source/marketwatch-media-bias,0,0,0,1,Low or Initial Rating,"
https://twitter.com/MarketWatch",https://en.wikipedia.org/wiki/MarketWatch,"
https://www.facebook.com/marketwatch/",MarketWatch,0,-1575.0238933324063,121.88128190413116
Marshall Ramsey (cartoonist),center,3.0,Author,52,41,0.5591397849462365,https://www.allsides.com/news-source/marshall-ramsey-cartoonist,checked,0,0,0,,,,,,0,-1563.2628195755378,100.91281619494276
Mary O'Grady,right,5.0,Author,27,37,0.421875,https://www.allsides.com/news-source/mary-ogrady,0,0,0,0,,,,,,0,-1584.0792641345863,115.32378687783037
Mashable,left,1.0,News Media,342,120,0.7402597402597403,https://www.allsides.com/news-source/mashable,0,0,0,1,Low or Initial Rating,,,,,0,-1299.2345951684717,-42.71906529547924
Matt Bors (cartoonist),left,1.0,Author,30,10,0.75,https://www.allsides.com/news-source/matt-bors-cartoonist,checked,0,0,0,,,,,,0,-1600.5960582436046,93.75541662594699
Matt Davies (cartoonist),left,1.0,Author,70,35,0.6666666666666666,https://www.allsides.com/news-source/matt-davies-cartoonist,checked,0,0,0,,,,,,0,-1554.4194935553987,84.12604545427479
Matt Drudge,right,5.0,Author,205,156,0.5678670360110804,https://www.allsides.com/news-source/matt-drudge,0,0,0,0,Medium,,,,,0,-1373.2309371637086,78.06813653771013
Matt Towery,right-center,4.0,Author,45,41,0.5232558139534884,https://www.allsides.com/news-source/matt-towery,checked,0,0,0,,,,,,0,-1568.3164425495438,105.75646459551652
Matt Welch,right-center,4.0,Author,49,107,0.3141025641025641,https://www.allsides.com/news-source/matt-welch,0,0,0,0,Low or Initial Rating,,,,,0,-1519.7599505692958,150.6370611942379
Matt Wuerker (cartoonist),left,1.0,Author,58,34,0.6304347826086957,https://www.allsides.com/news-source/matt-wuerker-cartoonist,checked,0,0,0,,,,,,0,-1563.7747869103434,91.70750391103655
Maureen Dowd,center,3.0,Author,95,261,0.2668539325842696,https://www.allsides.com/news-source/maureen-dowd,0,0,0,1,Low or Initial Rating,,,,,0,-1379.990114217352,229.98692162172458
McClatchyDC,center,3.0,News Media,9,10,0.4736842105263157,https://www.allsides.com/news-source/mcclatchydc-media-bias,0,0,0,1,Low or Initial Rating,https://twitter.com/McClatchyDC?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://en.wikipedia.org/wiki/McClatchy,https://www.facebook.com/McClatchyDCBureau/,McClatchyDC,0,-1615.7568988070564,108.2863651216369
Media Matters,left,1.0,News Media,2368,1494,0.61315380631797,https://www.allsides.com/news-source/media-matters-bias,0,0,0,0,,https://twitter.com/mmfa,https://en.wikipedia.org/wiki/Media_Matters_for_America,https://www.facebook.com/Mediamatters/?ref=br_rs,mmfa,0,1114.1660169374393,-452.65729727581396
Media Research Center,right,5.0,News Media,1238,1526,0.4479015918958032,https://www.allsides.com/news-source/media-research-center,0,0,0,0,,,,,,0,320.5102496672371,352.3486302198181
Mediaite,left-center,2.0,News Media,615,631,0.4935794542536115,https://www.allsides.com/news-source/mediaite-bias,0,0,0,1,Low or Initial Rating,https://twitter.com/@mediaite,https://en.wikipedia.org/wiki/Mediaite,https://www.facebook.com/mediaite/,mediaite,0,-748.557008842654,137.29257581616
Miami Herald,left-center,2.0,News Media,231,255,0.4753086419753086,https://www.allsides.com/news-source/miami-herald,0,0,0,1,Low or Initial Rating,https://twitter.com/MiamiHerald,https://en.wikipedia.org/wiki/Miami_Herald,https://www.facebook.com/miamiherald,MiamiHerald,0,-1285.957253112662,131.5500218970928
Michael Barone,right-center,4.0,Author,106,83,0.5608465608465608,https://www.allsides.com/news-source/michael-barone,checked,0,0,0,,,,,,0,-1495.2158744022083,93.86920367437469
Michael Brendan Dougherty,right-center,4.0,Author,72,78,0.48,https://www.allsides.com/news-source/michael-brendan-dougherty,0,0,0,0,Low or Initial Rating,,,,,0,-1523.2217642575486,113.78578686731097
Michael Gerson,right-center,4.0,Author,123,106,0.537117903930131,https://www.allsides.com/news-source/michael-gerson,checked,0,0,0,,,,,,0,-1467.0279510806765,98.71079300919124
Michael Goodwin,right,5.0,Author,44,29,0.6027397260273972,https://www.allsides.com/news-source/michael-goodwin,0,0,0,1,Low or Initial Rating,,,,,0,-1577.3417735263374,97.78505423902608
Michael Graham,right,5.0,Author,8,14,0.3636363636363636,https://www.allsides.com/news-source/michael-graham-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1613.7110556788057,111.86609260931915
Michael Kinsley,left,1.0,Author,71,55,0.5634920634920635,https://www.allsides.com/news-source/michael-kinsley,0,0,0,1,Medium,,,,,0,-1539.8585226506916,97.87299628910006
Michael Medved,right,5.0,Author,88,103,0.4607329842931937,https://www.allsides.com/news-source/michael-medved,0,0,0,1,Low or Initial Rating,,,,,0,-1494.3718696138167,120.76320307818281
Michael Ramirez (cartoonist),right,5.0,Author,41,51,0.4456521739130434,https://www.allsides.com/news-source/michael-ramirez-cartoonist,checked,0,0,0,,,,,,0,-1564.2847280828448,115.74371709939952
Michelle Alexander,left-center,2.0,Author,20,20,0.5,https://www.allsides.com/news-source/michelle-alexander-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1600.8959931092045,107.8943691379861
Michelle Malkin,right,5.0,Author,332,179,0.649706457925636,https://www.allsides.com/news-source/michelle-malkin,0,0,0,0,,,,,,0,-1265.6290347595611,6.79520247461295
MichelleMalkin.com,right,5.0,News Media,491,234,0.6772413793103448,https://www.allsides.com/news-source/michellemalkincom,0,0,0,1,,,https://en.wikipedia.org/wiki/MichelleMalkin.com,,,0,-1112.7824562339729,-63.51789508971375
Michigan Daily,left-center,2.0,News Media,187,164,0.5327635327635327,https://www.allsides.com/news-source/michigan-daily,0,0,0,0,Low or Initial Rating,,,,,0,-1380.6903322766407,96.29881671531552
Mike Lester (cartoonist),right,5.0,Author,14,7,0.6666666666666666,https://www.allsides.com/news-source/mike-lester-cartoonist,checked,0,0,0,,,,,,0,-1614.2230574400148,102.66076958523617
Mike Luckovich (cartoonist),left,1.0,Author,72,59,0.549618320610687,https://www.allsides.com/news-source/mike-luckovich-cartoonist,checked,0,0,0,,,,,,0,-1536.3687990796948,100.06883697197226
Mike Thompson (cartoonist),center,3.0,Author,40,55,0.4210526315789473,https://www.allsides.com/news-source/mike-thompson-cartoonist,checked,0,0,0,,,,,,0,-1562.2388604801858,119.32345841542772
Mismatch.org,allsides,,News Media,38,54,0.4130434782608695,https://www.allsides.com/news-source/mismatchorg-media-bias,0,0,0,1,High,,,,,0,-1564.3746787571101,119.98540477437226
MIT News,center,3.0,News Media,180,145,0.5538461538461539,https://www.allsides.com/news-source/mit-news,0,0,0,1,Low or Initial Rating,https://twitter.com/mit,,https://www.facebook.com/MITnews,mit,0,-1398.8909860434599,87.42549327820055
Morgan Jacobsen,center,3.0,Author,56,78,0.417910447761194,https://www.allsides.com/news-source/morgan-jacobsen,0,0,0,0,,,,,,0,-1534.7728824100873,124.85699694498769
Mother Jones,left,1.0,News Media,5412,1010,0.8427281220803488,https://www.allsides.com/news-source/mother-jones-bias,0,0,0,0,,https://twitter.com/MotherJones,https://en.wikipedia.org/wiki/Mother_Jones_(magazine),https://www.facebook.com/motherjones/,MotherJones,2,2976.8635190754503,-2908.375125086368
MSNBC,left,1.0,News Media,5681,1923,0.7471067859021567,https://www.allsides.com/news-source/msnbc,0,0,1,1,Medium,https://twitter.com/@MSNBC,https://en.wikipedia.org/wiki/MSNBC,https://www.facebook.com/msnbc/,MSNBC,2,3802.8173437991773,-2435.373688290398
MTV News Online,left-center,2.0,News Media,29,37,0.4393939393939394,https://www.allsides.com/news-source/mtv-news-online-media-bias,0,0,0,1,,,,,,0,-1582.6353329249423,113.93988997343202
National Committee to Preserve Social Security and Medicare,left,1.0,Think Tank / Policy Group,184,187,0.4959568733153638,https://www.allsides.com/news-source/national-committee-preserve-social-security-and-medicare,0,0,0,0,,,,,,0,-1366.9413081334217,114.9794144816874
National Interest,center,3.0,Think Tank / Policy Group,127,165,0.4349315068493151,https://www.allsides.com/news-source/national-interest,0,0,0,1,Low or Initial Rating,,https://en.wikipedia.org/wiki/The_National_Interest,,,0,-1423.3150817481928,138.53776303547696
National Journal,center,3.0,News Media,899,647,0.5815006468305304,https://www.allsides.com/news-source/national-journal,0,0,0,0,,,,,,0,-532.4533796486398,-47.67014698011151
National Review,right,5.0,News Media,9338,4448,0.6773538372261715,https://www.allsides.com/news-source/national-review,0,0,0,1,Medium,https://twitter.com/NRO,https://en.wikipedia.org/wiki/National_Review,https://www.facebook.com/nationalreview/,NRO,2,8190.145298270828,-3142.923685675708
NBC Today Show,left-center,2.0,News Media,1026,1172,0.4667879890809827,https://www.allsides.com/news-source/nbc-today-show,checked,0,0,0,,https://twitter.com/@TODAYshow,https://en.wikipedia.org/wiki/TODAY.com,,TODAYshow,0,-77.4924872041804,243.4734549528476
NBCNews.com,left-center,2.0,News Media,4221,5408,0.4383632775989199,https://www.allsides.com/news-source/nbc-news-media-bias,0,0,1,1,Medium,https://twitter.com/@JoshNBCNews,https://en.wikipedia.org/wiki/NBC_News,https://www.facebook.com/NBCNews/,JoshNBCNews,2,5160.223585858063,1090.8528092492506
Neil J. Young,left-center,2.0,Author,6,12,0.3333333333333333,https://www.allsides.com/news-source/neil-j-young-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1616.538828242242,111.8061172479329
New Economy Working Group,left-center,2.0,Think Tank / Policy Group,98,67,0.593939393939394,https://www.allsides.com/news-source/new-economy-working-group,0,0,0,0,,,,,,0,-1512.0626269602494,87.85368816758434
New Republic,left,1.0,News Media,1254,673,0.6507524649714582,https://www.allsides.com/news-source/new-republic,0,0,0,1,Low or Initial Rating,https://twitter.com/newrepublic,https://en.wikipedia.org/wiki/The_New_Republic,https://www.facebook.com/newrepublic/,newrepublic,0,-258.1720720352496,-274.5418830259999
New York Daily News,left,1.0,News Media,1015,450,0.6928327645051194,https://www.allsides.com/news-source/new-york-daily-news,0,0,0,1,Low or Initial Rating,,,,,0,-585.0218773987997,-270.1595887592098
New York Magazine,left,1.0,News Media,1711,785,0.6854967948717948,https://www.allsides.com/news-source/new-york-magazine,0,0,0,1,Low or Initial Rating,https://twitter.com/Intelligencer,https://en.wikipedia.org/wiki/New_York_(magazine),"
https://www.facebook.com/NewYorkMag",Intelligencer,0,149.25533229979396,-509.90524164932395
New York Post,right,5.0,News Media,3669,2522,0.5926344693910516,https://www.allsides.com/news-source/new-york-post,0,0,0,1,Low or Initial Rating,https://twitter.com/@nypost,https://en.wikipedia.org/wiki/New_York_Post,https://www.facebook.com/NYPost/,nypost,0,2764.7415751975323,-610.7247602468228
New York Times - News,left-center,2.0,News Media,15675,25234,0.3831675181500403,https://www.allsides.com/news-source/new-york-times,1,1,1,1,High,https://twitter.com/@rpogrebin?ref_src=twsrc%5Etfw,https://en.wikipedia.org/wiki/The_New_York_Times,https://www.facebook.com/nytimes/,rpogrebin,1,27147.98868453825,7478.5423934450155
New York Times - Opinion,left,1.0,News Media,2716,840,0.7637795275590551,https://www.allsides.com/news-source/new-york-times-opinion-media-bias,1,0,0,1,High,https://twitter.com/@rpogrebin?ref_src=twsrc%5Etfw,https://en.wikipedia.org/wiki/The_New_York_Times,https://www.facebook.com/nytimes/,rpogrebin,0,912.8675816852804,-1165.6081740619798
NewsBusters,right,5.0,Think Tank / Policy Group,288,162,0.64,https://www.allsides.com/news-source/newsbusters,0,0,0,0,,,,,,0,-1309.1577792194619,24.967940818946985
Newsmax,right,5.0,News Media,6840,8978,0.4324187634340624,https://www.allsides.com/news-source/newsmax,0,1,0,1,Medium,https://twitter.com/newsmax,https://en.wikipedia.org/wiki/Newsmax_Media,https://www.facebook.com/newsmax/?ref=br_rs,newsmax,2,9521.260315057521,1855.9798931026298
Newsweek,left-center,2.0,News Media,2037,2470,0.451963612158864,https://www.allsides.com/news-source/newsweek,0,0,0,0,Medium,https://twitter.com/@thedailybeast,https://en.wikipedia.org/wiki/The_Daily_Beast,https://www.facebook.com/thedailybeast/,thedailybeast,0,1550.5454918307798,480.99678838235576
Newt Gingrich,right,5.0,Author,429,181,0.7032786885245902,https://www.allsides.com/news-source/newt-gingrich,0,0,0,0,,,,,,0,-1194.2164438028708,-58.88007576409352
Nicholas Kristof,left,1.0,Author,153,148,0.5083056478405316,https://www.allsides.com/news-source/nicholas-kristof,0,0,0,1,Low or Initial Rating,,,,,0,-1416.3076454798975,108.27399467168574
Nick Anderson (cartoonist),center,3.0,Author,30,46,0.3947368421052631,https://www.allsides.com/news-source/nick-anderson-cartoonist,checked,0,0,0,,,,,,0,-1575.6858646410333,119.74545396149873
NMPolitics.net,center,3.0,News Media,140,196,0.4166666666666667,https://www.allsides.com/news-source/nmpoliticsnet,0,0,0,1,Low or Initial Rating,,,,,0,-1392.479338139132,151.92271488908153
No Labels,center,3.0,Think Tank / Policy Group,90,66,0.5769230769230769,https://www.allsides.com/news-source/no-labels,0,0,0,0,,,,,,0,-1518.5301453541576,92.66734058067514
Noah Rothman,right-center,4.0,Author,22,16,0.5789473684210527,https://www.allsides.com/news-source/noah-rothman-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1602.219915415377,103.62267508688964
NPR Editorial,left-center,2.0,News Media,1859,1966,0.4860130718954248,https://www.allsides.com/news-source/npr-editorial,1,0,0,1,Low or Initial Rating,https://twitter.com/@NPR,https://en.wikipedia.org/wiki/NPR,https://www.facebook.com/NPR/,NPR,0,1073.2963728596158,240.30349465347933
NPR Online News,center,3.0,News Media,19422,14510,0.5723800542260993,https://www.allsides.com/news-source/npr-media-bias,1,1,1,1,Medium,https://twitter.com/@NPR,https://en.wikipedia.org/wiki/NPR,https://www.facebook.com/NPR/,NPR,1,22432.64398646324,-2856.335902139169
One America News Network,right-center,4.0,News Media,408,416,0.4951456310679611,https://www.allsides.com/news-source/one-america-news-network-media-bias,1,0,0,1,Low or Initial Rating,,,,,0,-1046.7689766606609,125.30801981611204
OpenSecrets.org,center,3.0,Think Tank / Policy Group,398,325,0.5504840940525588,https://www.allsides.com/news-source/opensecretsorg,0,0,0,1,Low or Initial Rating,,https://en.wikipedia.org/wiki/OpenSecrets,,,0,-1116.955888396385,66.53050436920114
Orange County Register,right-center,4.0,News Media,197,163,0.5472222222222223,https://www.allsides.com/news-source/orange-county-register,0,0,0,1,Low or Initial Rating,https://twitter.com/ocregister,https://en.wikipedia.org/wiki/Orange_County_Register,https://www.facebook.com/ocregister,ocregister,0,-1374.162819654581,88.65735102137299
Pacific Research Institute,right,5.0,Think Tank / Policy Group,128,145,0.4688644688644688,https://www.allsides.com/news-source/pacific-research-institute,0,0,0,1,Low or Initial Rating,,,,,0,-1436.4321520242117,123.40689706355366
Pacific Standard,left-center,2.0,News Media,336,294,0.5333333333333333,https://www.allsides.com/news-source/pacific-standard,0,0,0,1,Low or Initial Rating,,,,,0,-1183.1669438476904,87.05111685612543
Pat Oliphant (cartoonist),center,3.0,Author,42,49,0.4615384615384615,https://www.allsides.com/news-source/pat-oliphant-cartoonist,checked,0,0,0,,,,,,0,-1564.9466709328376,113.6078845873142
Paul Krugman,left,1.0,Author,307,193,0.614,https://www.allsides.com/news-source/paul-krugman,0,0,0,1,High,,,,,0,-1273.990317254941,34.2012007581899
Paul Szep (cartoonist),center,3.0,Author,50,44,0.5319148936170213,https://www.allsides.com/news-source/paul-szep-cartoonist,checked,0,0,0,,,,,,0,-1562.63085961722,104.46255360623414
PBS NewsHour,center,3.0,News Media,2039,1494,0.5771299179167846,https://www.allsides.com/news-source/pbs-newshour,0,0,0,0,Low or Initial Rating,,https://en.wikipedia.org/wiki/PBS_NewsHour,,,0,876.646012910641,-225.00569944309007
Peacock Panache,left,1.0,News Media,145,75,0.6590909090909091,https://www.allsides.com/news-source/peacock-panache,0,0,0,0,Low or Initial Rating,,,,,0,-1472.5955920767449,61.107593797064816
Peggy Noonan,right,5.0,Author,239,322,0.4260249554367201,https://www.allsides.com/news-source/peggy-noonan,0,0,0,1,,,,,,0,-1233.8210481308924,174.38474213757092
People for the American Way,left,1.0,Think Tank / Policy Group,175,112,0.6097560975609756,https://www.allsides.com/news-source/people-american-way,0,0,0,0,,,,,,0,-1425.3350779969733,67.0610658539675
Peter Roff,right-center,4.0,Author,176,113,0.6089965397923875,https://www.allsides.com/news-source/peter-roff,0,0,0,1,Medium,,,,,0,-1423.9211785292441,67.09103844583038
Peter Thiel,right-center,4.0,Author,10,20,0.3333333333333333,https://www.allsides.com/news-source/peter-thiel-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1608.1154580590314,114.8138697532276
Physicians for a National Health Program,left,1.0,Think Tank / Policy Group,125,90,0.5813953488372093,https://www.allsides.com/news-source/physicians-national-health-program,0,0,0,1,Low or Initial Rating,,,,,0,-1476.6552225339158,85.77577062563711
Piers Morgan,left-center,2.0,Author,184,349,0.3452157598499062,https://www.allsides.com/news-source/piers-morgan,0,0,0,1,Low or Initial Rating,,,,,0,-1254.8453648510108,231.93454067235183
Pittsburgh Post-Gazette,right-center,4.0,News Media,186,221,0.457002457002457,https://www.allsides.com/news-source/pittsburgh-post-gazette,0,0,0,1,Low or Initial Rating,https://twitter.com/PittsburghPG,https://en.wikipedia.org/wiki/Pittsburgh_Post-Gazette,https://www.facebook.com/pittsburghpostgazette,PittsburghPG,0,-1341.9711078994676,138.14163240402277
PJ Media,right-center,4.0,News Media,95,79,0.5459770114942529,https://www.allsides.com/news-source/pj-media-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1505.9250506285907,98.59286602316126
PJ Media,right,5.0,News Media,163,88,0.649402390438247,https://www.allsides.com/news-source/pj-media,0,0,0,0,Low or Initial Rating,,https://en.wikipedia.org/wiki/PJ_Media,,,0,-1450.605249580352,58.03776180143442
Politico,left-center,2.0,News Media,13776,21465,0.3909083170171107,https://www.allsides.com/news-source/politico-media-bias,1,1,1,1,Medium,https://twitter.com/politico,https://en.wikipedia.org/wiki/Politico,https://www.facebook.com/politico/,politico,1,23169.05444750174,6071.544063027897
PoliticusUSA,left,1.0,News Media,786,254,0.7557692307692307,https://www.allsides.com/news-source/politicususa,0,0,0,0,Low or Initial Rating,https://twitter.com/@politicususa,,https://www.facebook.com/PoliticusUSA/,politicususa,0,-885.9695979451571,-253.20426589771904
PolitiFact,left-center,2.0,News Media,1520,2138,0.4155276107162384,https://www.allsides.com/news-source/politifact,0,0,0,1,Low or Initial Rating,https://twitter.com/politifact,https://en.wikipedia.org/wiki/PolitiFact,https://facebook.com/politifact,politifact,0,947.5723571844535,599.0491900312403
Portland Press Herald,center,3.0,News Media,161,245,0.396551724137931,https://www.allsides.com/news-source/portland-press-herarld,0,0,0,1,Medium,https://twitter.com/PressHerald,https://en.wikipedia.org/wiki/Portland_Press_Herald,https://www.facebook.com/pressherald/,PressHerald,0,-1343.4129294068575,172.76708023296385
Prager University,right,5.0,Think Tank / Policy Group,1616,423,0.7925453653751839,https://www.allsides.com/news-source/prager-university,0,0,0,1,High,https://twitter.com/prageru?,,https://www.facebook.com/prageru/,prageru,0,-169.8154527325944,-705.5141840353539
PRI (Public Radio International),center,3.0,News Media,610,346,0.6380753138075314,https://www.allsides.com/news-source/pri-public-radio-international,0,0,0,0,Low or Initial Rating,,,,,0,-949.3725612539812,-65.00207557760028
ProCon.org,allsides,,News Media,2862,1673,0.6310915104740904,https://www.allsides.com/news-source/proconorg,0,0,0,0,Low or Initial Rating,,,,,0,1594.6660450987722,-665.2524875300484
Progressive Voices of Iowa,left,1.0,News Media,145,80,0.6444444444444445,https://www.allsides.com/news-source/progressive-voices-iowa,0,0,0,1,Low or Initial Rating,,,https://www.facebook.com/ProgressiveVoicesofIowa/,,0,-1469.1358188941574,64.71731166518285
Project Veritas,right-center,4.0,News Media,31,46,0.4025974025974026,https://www.allsides.com/news-source/project-veritas-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1574.9639031240404,119.053489815371
ProPublica,center,3.0,News Media,839,531,0.6124087591240875,https://www.allsides.com/news-source/propublica,0,0,0,0,,https://twitter.com/@zahiratorres,https://en.wikipedia.org/wiki/ProPublica,,zahiratorres,0,-656.0363148812237,-89.89878895666926
PXW News,center,3.0,News Media,126,132,0.4883720930232558,https://www.allsides.com/news-source/pxw-news,0,0,0,1,Low or Initial Rating,https://twitter.com/pxwnews,,,pxwnews,0,-1446.8713825052514,115.40551698470905
Quartz,center,3.0,News Media,473,424,0.5273132664437012,https://www.allsides.com/news-source/quartz,0,0,0,1,Low or Initial Rating,,,,,0,-994.3069270484003,86.10682399134937
Quillette,right-center,4.0,News Media,282,482,0.369109947643979,https://www.allsides.com/news-source/quillette-media-bias,1,0,0,1,Low or Initial Rating,,,,,0,-1092.065368925792,260.1421342454807
